id;age;job;education;default;day_of_week;duration;campaign;previous;cons.conf.idx;euribor3m;nr.employed;class
20;35-44;management;basic.9y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
21;17-24;unemployed;high.school;no;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
22;55-64;blue-collar;basic.4y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
23;55-64;retired;high.school;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
24;35-44;technician;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
25;35-44;admin.;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
26;35-44;technician;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
27;55-64;technician;unknown;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
28;35-44;self-employed;basic.9y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
29;45-54;technician;university.degree;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
30;55-64;unknown;university.degree;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
31;45-54;admin.;unknown;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
32;55-64;technician;unknown;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
33;45-54;blue-collar;unknown;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
34;45-54;management;basic.4y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
35;45-54;blue-collar;basic.4y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
36;55-64;unknown;basic.4y;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
37;17-24;services;high.school;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
38;45-54;technician;basic.9y;no;mon;between 21-40;1;0;Above -40;4.6-5.1;Above 52k;no
39;35-44;admin.;university.degree;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
40;55-64;technician;basic.4y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
41;55-64;management;university.degree;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
42;17-24;entrepreneur;high.school;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
43;35-44;admin.;professional.course;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
44;55-64;admin.;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
45;35-44;admin.;university.degree;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
46;35-44;technician;professional.course;unknown;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
47;55-64;admin.;university.degree;no;mon;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
48;35-44;blue-collar;basic.9y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
49;35-44;admin.;university.degree;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
50;45-54;blue-collar;basic.9y;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
51;45-54;admin.;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
52;35-44;housemaid;basic.4y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
53;55-64;admin.;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
54;45-54;admin.;professional.course;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
55;55-64;blue-collar;basic.4y;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
56;55-64;technician;professional.course;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
57;45-54;management;university.degree;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
58;45-54;services;high.school;unknown;mon;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
59;55-64;unemployed;professional.course;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
60;17-24;technician;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
61;45-54;entrepreneur;university.degree;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
62;45-54;blue-collar;basic.9y;no;mon;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
63;35-44;blue-collar;basic.6y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
64;35-44;blue-collar;basic.6y;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
65;45-54;admin.;high.school;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
66;35-44;admin.;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
67;35-44;blue-collar;basic.9y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
68;17-24;admin.;unknown;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
69;55-64;admin.;basic.9y;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
70;35-44;blue-collar;basic.4y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
71;35-44;management;basic.6y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
72;35-44;management;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
73;45-54;admin.;university.degree;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
74;55-64;unknown;unknown;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
75;35-44;admin.;university.degree;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
76;35-44;blue-collar;basic.4y;unknown;mon;between 21-40;1;0;Above -40;4.6-5.1;Above 52k;yes
77;55-64;technician;university.degree;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
78;17-24;services;high.school;unknown;mon;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
79;55-64;management;unknown;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
80;35-44;blue-collar;basic.9y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
81;45-54;blue-collar;basic.4y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
82;45-54;blue-collar;basic.4y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
83;35-44;admin.;high.school;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
84;45-54;entrepreneur;university.degree;unknown;mon;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;yes
85;35-44;technician;university.degree;no;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
86;17-24;admin.;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
87;35-44;management;basic.6y;no;mon;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
88;35-44;admin.;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
89;45-54;technician;basic.9y;no;mon;between 21-40;1;0;Above -40;4.6-5.1;Above 52k;yes
90;17-24;admin.;high.school;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
91;35-44;admin.;university.degree;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
92;55-64;unknown;unknown;unknown;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
93;55-64;admin.;unknown;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
94;17-24;unemployed;basic.9y;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
95;35-44;blue-collar;basic.6y;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
96;45-54;services;professional.course;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
97;35-44;management;university.degree;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
98;45-54;admin.;university.degree;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
99;35-44;technician;professional.course;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
100;35-44;blue-collar;basic.6y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
101;45-54;services;unknown;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
102;45-54;blue-collar;basic.4y;no;mon;between 0-1;3;0;Above -40;4.6-5.1;Above 52k;no
103;45-54;services;unknown;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
104;45-54;admin.;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
105;45-54;admin.;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
106;35-44;services;high.school;unknown;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
107;17-24;housemaid;basic.6y;no;mon;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
108;35-44;admin.;high.school;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
109;35-44;entrepreneur;unknown;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
110;35-44;technician;unknown;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
111;55-64;retired;university.degree;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
112;55-64;unemployed;basic.4y;unknown;mon;between 11-20;2;0;Above -40;4.6-5.1;Above 52k;no
113;35-44;services;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
114;55-64;blue-collar;basic.9y;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
115;35-44;management;university.degree;no;mon;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
116;35-44;blue-collar;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
117;45-54;admin.;university.degree;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
118;55-64;blue-collar;unknown;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
119;55-64;admin.;unknown;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
120;45-54;blue-collar;basic.4y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
121;35-44;blue-collar;high.school;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
122;45-54;blue-collar;high.school;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
123;35-44;services;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
124;45-54;technician;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
125;17-24;admin.;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
126;35-44;admin.;university.degree;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
127;45-54;admin.;basic.6y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
128;17-24;technician;professional.course;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
129;55-64;retired;basic.4y;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
130;35-44;technician;professional.course;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;yes
131;35-44;blue-collar;basic.6y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
132;35-44;technician;professional.course;unknown;mon;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
133;35-44;blue-collar;unknown;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
134;35-44;blue-collar;basic.6y;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
135;45-54;management;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
136;35-44;management;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
137;35-44;housemaid;basic.4y;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
138;55-64;blue-collar;basic.4y;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
139;17-24;services;high.school;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
140;45-54;blue-collar;basic.9y;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;yes
141;35-44;unemployed;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
142;55-64;management;unknown;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
143;35-44;management;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
144;45-54;blue-collar;basic.4y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
145;35-44;unknown;high.school;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
146;35-44;blue-collar;basic.4y;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
147;35-44;blue-collar;basic.4y;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
148;35-44;admin.;high.school;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
149;35-44;admin.;university.degree;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
150;45-54;blue-collar;basic.4y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
151;55-64;blue-collar;basic.9y;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
152;55-64;entrepreneur;unknown;unknown;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
153;35-44;services;high.school;unknown;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
154;55-64;entrepreneur;unknown;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
155;35-44;blue-collar;unknown;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
156;35-44;blue-collar;basic.9y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
157;45-54;blue-collar;unknown;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
158;45-54;blue-collar;unknown;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
159;35-44;technician;professional.course;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
160;55-64;services;high.school;no;mon;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
161;25-34;management;university.degree;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
162;35-44;blue-collar;basic.9y;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
163;35-44;blue-collar;basic.9y;unknown;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
164;35-44;blue-collar;basic.9y;unknown;mon;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
165;35-44;services;high.school;unknown;mon;between 21-40;1;0;Above -40;4.6-5.1;Above 52k;no
166;35-44;entrepreneur;basic.6y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
167;35-44;services;high.school;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
168;55-64;admin.;unknown;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
169;35-44;blue-collar;unknown;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
170;45-54;management;university.degree;no;mon;between 11-20;2;0;Above -40;4.6-5.1;Above 52k;no
171;35-44;blue-collar;high.school;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
172;35-44;services;high.school;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
173;45-54;technician;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
174;35-44;admin.;university.degree;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
175;35-44;services;high.school;no;mon;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
176;45-54;management;basic.9y;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
177;35-44;services;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
178;45-54;admin.;basic.6y;no;mon;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
179;17-24;services;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
180;35-44;blue-collar;basic.9y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
181;17-24;technician;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
182;45-54;blue-collar;basic.6y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
183;35-44;blue-collar;basic.9y;no;mon;between 11-20;2;0;Above -40;4.6-5.1;Above 52k;yes
184;35-44;admin.;university.degree;no;mon;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
185;45-54;blue-collar;basic.4y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
186;55-64;management;university.degree;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
187;45-54;technician;basic.6y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
188;45-54;retired;high.school;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
189;45-54;blue-collar;basic.4y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
190;17-24;admin.;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
191;35-44;technician;professional.course;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
192;35-44;blue-collar;basic.9y;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
193;45-54;management;university.degree;no;mon;between 0-1;2;0;Above -40;4.6-5.1;Above 52k;no
194;35-44;technician;university.degree;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
195;17-24;blue-collar;basic.9y;unknown;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
196;45-54;blue-collar;basic.4y;no;mon;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
197;35-44;admin.;high.school;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
198;17-24;blue-collar;basic.9y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
199;35-44;admin.;basic.9y;unknown;mon;between 11-20;2;0;Above -40;4.6-5.1;Above 52k;no
200;35-44;blue-collar;basic.6y;no;mon;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
201;17-24;services;high.school;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
202;17-24;services;basic.6y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
203;35-44;blue-collar;high.school;no;mon;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
204;35-44;admin.;unknown;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
205;35-44;blue-collar;basic.9y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
206;35-44;student;university.degree;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
207;35-44;student;university.degree;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
208;35-44;unemployed;professional.course;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
209;35-44;services;basic.4y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
210;35-44;student;university.degree;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
211;35-44;student;basic.9y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
212;55-64;housemaid;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
213;55-64;admin.;university.degree;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
214;55-64;retired;unknown;unknown;mon;between 11-20;2;0;Above -40;4.6-5.1;Above 52k;no
215;35-44;blue-collar;professional.course;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
216;35-44;housemaid;basic.4y;unknown;mon;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
217;17-24;blue-collar;unknown;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
218;17-24;blue-collar;unknown;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
219;45-54;housemaid;basic.4y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
220;35-44;services;high.school;no;mon;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
221;35-44;admin.;high.school;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
222;35-44;technician;unknown;unknown;mon;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
223;35-44;services;basic.6y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
224;45-54;technician;basic.4y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
225;35-44;technician;basic.9y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
226;55-64;retired;university.degree;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
227;35-44;technician;university.degree;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
228;35-44;admin.;university.degree;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
229;35-44;retired;basic.4y;unknown;mon;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
230;45-54;blue-collar;basic.4y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
231;35-44;admin.;professional.course;no;mon;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
232;45-54;services;professional.course;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
233;17-24;management;basic.4y;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
234;35-44;admin.;high.school;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
235;45-54;self-employed;university.degree;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
236;35-44;admin.;professional.course;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
237;55-64;blue-collar;basic.4y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
238;45-54;admin.;high.school;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
239;17-24;services;high.school;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
240;35-44;management;university.degree;unknown;mon;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
241;55-64;retired;high.school;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
242;35-44;technician;professional.course;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
243;17-24;management;university.degree;no;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
244;17-24;services;basic.9y;no;mon;between 11-20;2;0;Above -40;4.6-5.1;Above 52k;no
245;17-24;technician;university.degree;unknown;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
246;17-24;services;unknown;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
247;17-24;technician;professional.course;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
248;35-44;technician;high.school;no;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
249;35-44;blue-collar;high.school;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
250;17-24;services;high.school;no;mon;between 11-20;1;0;Above -40;4.6-5.1;Above 52k;no
251;35-44;technician;professional.course;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
252;35-44;blue-collar;basic.4y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
253;45-54;services;basic.6y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
254;35-44;technician;professional.course;no;mon;between 2 - 5;3;0;Above -40;4.6-5.1;Above 52k;no
255;17-24;services;unknown;no;mon;between 6-10;2;0;Above -40;4.6-5.1;Above 52k;no
256;45-54;services;high.school;no;mon;between 6-10;3;0;Above -40;4.6-5.1;Above 52k;no
257;55-64;blue-collar;basic.9y;unknown;mon;between 2 - 5;2;0;Above -40;4.6-5.1;Above 52k;no
258;45-54;management;basic.9y;no;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
259;35-44;technician;unknown;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
260;17-24;admin.;high.school;no;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
261;17-24;admin.;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
262;17-24;blue-collar;basic.6y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
